K	India
Studying?	India
Vch photo	India
K:-)ya i hav to finish	India
K	India
One senioq akka	India
K d	India
She vil mistake me only cha.dnt talk to me also	India
I am standing up	India
K	India
Sorry d v seriously forgot	India
Free	India
K	India
Aiyo i try sterday itself nt cuming.	India
Without eatin hw can i cum d	India
Wru	India
Idiot dog.i am ur wife wats wrong in it..hw was d photos	India
Ya ya:-):-)	India
T oday bread butter jam d	India
I am near entrance	India
Want cooker d	India
Hey i didnt say u nt to talk to veena.i just told	India
Cum out of ur rum..	India
Wit who d.swathi told she is nt cuming	India
Der	India
Nw itself free for me	India
K	India
Abt ict only na.i vil tel abt d use in future,subjects releated with ece,etc..	India
Hey mes is opening nw only d.	India
I saw u	India
5 min	India
She told its in net..so i vil check it out	India
Ru wearing legins	India
Vidhut	India
I shwd her dat same code u send me on dat itself	India
I am in clas	India
Come out of ur rum	India
No d	India
K	India
Cum out	India
Der	India
No	India
Tel	India
K comin	India
Vil cal later	India
:-):-)	India
Dat security is nt there d	India
Tel	India
I told dat other program is done by u	India
I didnt say u to nt talk her	India
Come out of ur rum	India
Rum	India
K	India
Cum up	India
Bye	India
 vil cal u na	India
K d i am eatin nw	India
Come	India
K i want to tel u important matter .later	India
Thanx a lot..:-)	India
Oh k k fyn thank u:-)	India
Ya	India
Sorry.wat can i do it is in net	India
Der	India
No	India
U collect it	India
Ok	India
Idiot po po pakki	India
Nothng k leave	India
Vil try	India
I vil tell u after eat u start	India
Oh sorry i dnt knw.i thaught i am angry	India
Oh k k fyn i vil check it out..	India
U der	India
Wru	India
Sorry	India
I didnt say u to nt to talk	India
Dunno d	India
Ru goin to takin organizer video	India
I vil giv d buk to xerox today	India
Shal v meet in break	India
Poda wat is personal btwn u n me	India
K.anyways u didnt tel me first abt dis site.u told to veena only na.after dat only sterday u told me	India
I am in mes d	India
Now wat class for u	India
Y ru wastin phone balance ..i just askd wat u doin only na.if u told means i would hav cut..	India
K da i vil open after ten min..	India
Want cooker d	India
K i am near jvc	India
K	India
I didnt say lyk dat i am just sayin dat u also askd ur frnds if i cant.	India
U	India
Der	India
Wat doin	India
Wru	India
K	India
Wru	India
K d	India
K	India
Dnt want explanation	India
Assignment pa	India
I am on d way	India
No	India
Ya even i told i vil thnk of idea for dat site .did u wait	India
No	India
I hav taken 4rs d	India
U tel to her itself d.i already remembered her once.she only took al d xerox	India
Der	India
K y u told lyk dat	India
K leave i am nt up to ur level na	India
K d 5min	India
Bought pendrive de...copied:(will give u aft de:(actually my sim blocked so could not reply:(unna	India
U didnt lyk dat i askd coding only na	India
Coding is enough	India
Hey any one of u know d coding of huffman tree..plz if u knw means just rply me na...:-(:-(	India
Hmmm	India
No d hav to finish dip assignment hav to shw demo	India
Ya even u asked veena to teach u seriously	India
Hostel	India
Der	India
2min	India
Tel unna to c d mobile	India
I told na i vil tel u d idea.	India
:-)	India
V r cuming wru	India
Even i didnt lyk dat u didnt wait for my idea n u didnt tel me first	India
K	India
Wat happend i just askd u d prob	India
Vidhut	India
Doin dip assignment.codin	India
I trust u a lot dats wat i didnt ask anyone..after u told me to try only i askd ma frnds	India
Lab over for me	India
K d	India
U told to give xerox wen v give only na.v didnt giv xerox for us. Soumeya took xerox for everyone..anyway on thursday only unna thaught to take xerox.i came with u to volunter at 4.after that i thaught she would hav taken .but she didnt i dnt knw dat..	India
K	India
Then..wat is dat personal matter	India
K.	India
Ya d..i vil attend first session n then vil cum der	India
Wru	India
U told ur rite na..then y ru telin sry	India
K k	India
U send me d mail.	India
Startin frm hostel	India
She didnt copy it frm me.she download it frm net da..its k u send	India
t any code frm ma frnds.	India
K	India
Vidhut	India
V didnt giv xerox itself	India
K giv tomorrow	India
Wats der in personal?..i told dat i am stil in touch with them so no probs in askin help ..y ru getting angry..	India
K	India
Wat doin d	India
Cumin	India
For wat sry	India
Hey nw i got one program frm my dept frnd i am verifyin it .if nt i vil ask dat akka..thank u	India
I believed	India
I am goin to pr desk.5 to 8	India
Idiot dat same is d unna program	India
Ya i dnt knw to teach maths to u..so u askd veena only to teach maths for u..if i didnt give any idea means u asking ur frnds only na..	India
K	India
Hey cum soon d	India
No d	India
5min	India
 wel..he vil msg n all..i am in touch with ma frndz in msg	India
Then who dat three	India
Ya	India
Cuminm	India
Studyng	India
I am teling sry na other than dat wen i askd for help	India
K leave i vil c	India
K	India
Too much da.u only told na u vil send.so nw i got lap frm unna	India
Ya i am doin too much.hereafter i wnt ask any one	India
Near lib	India
Tips to Reduce ur Weight: 1st turn ur head to the Right @amp; then to the Left. Repeat this Exercise Whenever u r Offered Something to eat.	India
Der	India
Vil cal u	India
To write only..i dnt knw so i askd	India
Tel abt ful education nt only abt jobs,companies,n exams..v vil hav abt colleges ,growin technology,which field is gud for futures etc.	India
Gudnite	India
K	India
Ya but hav to shw demo tomorrow	India
Cant u rply	India
Can u do dis r nt	India
I told	India
Ru sendin to shanmail r wat else	India
K	India
K da	India
K	India
K mam told she vil giv d record at 1	India
Wat doin	India
Ask	India
K fyn	India
K	India
K d	India
I dnt want	India
Oh sry my mistake	India
Huffman coding	India
K	India
Send ah	India
Then wat u want	India
Hey yena d.un alu kandi treat taramatiya d.sema status msg	India
K	India
Can v meet	India
Der	India
Ya	India
I didnt giv any idea	India
Hey want cooker d	India
Tel d	India
Tel	India
K	India
Can u download any program n gimme	India
Po idiot i already told u in phone many tyms wen ur in rum only	India
May b:-)lol	India
K i wnt enough ah	India
Hey is cuming d.wait in  @lt;#@gt; .	India
Wat doin	India
Dnt cum mam got d record frm me.she is only having it.	India
K d	India
Ya	India
Oh	India
STATUS	India
Dat gate vil b open only	India
Rol cal	India
Can u ask prasanna abt dat coding	India
Rply	India
K d if i knw i vil msg u	India
Wake me up wen u start studyn	India
K	India
No ur treat	India
Der	India
Wru	India
K	India
Ya	India
K	India
:-)	India
Ya	India
If ur nt talkin means dnt attend d cal.always lyk dis itself ten paise going..nw  @lt;#@gt; rs only	India
U go n sleep dnt thnk abt dat..study for midsem	India
Y ru doin lyk dis	India
Hw many times i remembered u dis is fourth tym	India
Next generation LKG poem..:-D Drinking Drinkng little BEER..%-) How i wonder what a BAR.. Quarter rates r up so HIGH.. Drink a peg with chicken Fry.. Gud eve:)	India
Ur makin serious a smal thngs.u didnt lyk me talkin with schol frndz na..	India
Adhalam yenaku theriyathu.today treat	India
Hey gaks any one goin to vkj audi to watch music lits	India
For cse sneha also yesterday accident	India
I vil sleep	India
Ya	India
K but as u said it vil b only arround students	India
I love u:-)	India
Cum near lawn side gate d wer v celebrate ur bday.der no prob d	India
K	India
I am sorry .plz i am very tensed leave me sometime	India
K d	India
I dnt knw hav to go at 5 i am in english lits volunter..	India
Wru	India
Ur talkin too much..wats ur problem nw..wats wrong if i ask ma school frnds.u tel me dat first	India
K	India
Wen vil u cum?	India
Hey dnt forget to bring shewta dbms record...dnt forget	India
Nothng	India
Wen u cum to mes just msg me	India
Who told u dis idea?	India
No d	India
K	India
K	India
K k thanx	India
It happens always only na.i am used it..	India
I am d volunter in carpidem	India
V told bhuvana to giv for us	India
Ya at last i got it frm u only.dats y i told i am happy.n nw ur killing me with ur words	India
Tel abt dat article	India
Ama he talked with dat akka	India
Aiyo y thnx n al no probs	India
Aiyo	India
I vil study in d eve	India
Oh u decided ah	India
Ya :-(:-(	India
I am nt writin d exam	India
Studyin	India
Cse r It	India
For wat	India
I am volunter d	India
V came to just saw	India
Is it wrong dat i told u i am happy	India
Apadiya d solulavey illa.sure d i vil cum	India
No d	India
Thank u	India
I vil sleep da	India
Chuma	India
Wen can i get it frm u	India
Akka for me itself tshirt is very loose	India
Can u cum in v vil take u inside d hostel rum d	India
K	India
Dat is a problem k..i need program for dat problem	India
Ya	India
Rum	India
No d	India
